Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
CAST DEL POGGIO MOSCATO NV IG,WINE,STANDARD,7615300226,12151009,CAST DEL POGGIO MOSC,750ML,,7.33,,7.33,10.49,,0,0,,,,,,,,,,,,,,,7.33,88,,,10,12,,,
CASTILLO GOLD RUM,,STANDARD LIQUOR CORP,8048007530,1640007,CASTILLO GOLD RUM,1.0LT,,7.86,,7.86,9.99,,2,1,,,,,,,,,,,,,,,7.86,79.95,,A,0,12,,,
CASTILLO GOLD RUM,LIQUOR,STANDARD LIQUOR CORP,8048007520,1640004,CASTILLO GOLD RUM,1.75L,,14.73,,14.73,16.99,,2,2,,,,,,,,,,,,,,,14.73,84,,B,0,6,,,
CASTILLO WHITE RUM,,STANDARD LIQUOR CORP,8048006530,1642007,CASTILLO WHITE RUM,1.0LT,,8.16,,8.16,9.99,,2,1,,,,,,,,,,,,,,,8.16,79.95,,A,0,12,,,
CASTLE ROCK CAB SAUV,WINE,WORLD WIDE,8383700621,11803231,CASTLE ROCK CAB SAUV,750ML,,7.81,,7.81,11.99,,2,2,,,,,,,,,,,,,,,7.81,76.8,,D,2,12,,,
CASTLE ROCK CAB SAUV,WINE,WORLD WIDE,8383700633,11803231A,CASTLE ROCK CAB SAUV,750ML,,7.81,,7.81,12.99,,2,2,,,,,,,,,,,,,,,7.81,76.8,,,2,12,,,
CASTLE ROCK CHARD,WINE,WORLD WIDE,8383700643,11804131,CASTLE ROCK CHARD,750ML,,7.12,,7.12,9.99,,2,2,,,,,,,,,,,,,,,7.12,76.8,,D,8,12,,,
CASTLE ROCK CHARD,WINE,WORLD WIDE,8383700576,11804131A,CASTLE ROCK CHARD,750ML,,7.12,,7.12,9.99,,2,2,,,,,,,,,,,,,,,7.12,76.8,,,8,12,,,
CASTLE ROCK COLUMBIA CAB SAUV,WINE,WORLD WIDE,8383700582,11803432,CASTLE ROCK COLUMBIA,750ML,,8.12,,8.12,12.99,,1,1,,,,,,,,,,,,,,,8.12,93.75,,D,10,12,,,
CASTLE ROCK MENDOCINO P.N.,WINE,WORLD WIDE,8383700610,11803297,CASTLE ROCK MENDOCIN,750ML,,0,,0,12.99,,1,1,,,,,,,,,,,,,,,0,120,,H,0,12,,,
CASTLE ROCK MONTEREY P.N.,WINE,WORLD WIDE,8383700618,11803299,CASTLE ROCK MONTEREY,750ML,,0,,0,10.99,,1,1,,,,,,,,,,,,,,,0,120,,H,0,12,,,
CASTLE ROCK P. NOIR GIFT,WINE,WORLD WIDE,8383700646,11803252,CASTLE ROCK P. NOIR,750ML,,0,,0,37.99,,1,1,,,,,,,,,,,,,,,0,108.16,,H,0,4,,,
CASTLE ROCK SONOMA P.N.,WINE,WORLD WIDE,8383700606,11803298,CASTLE ROCK SONOMA P,750ML,,0,,0,12.99,,1,1,,,,,,,,,,,,,,,0,120,,H,-1,12,,,
CASTLE ROCK WINERY PINOT NOIR,WINE,WORLD WIDE,8383700626,11814132,CASTLE ROCK WINERY P,750ML,,7.81,,7.81,10.99,,2,2,,,,,,,,,,,,,,,7.81,85.5,,D,26,12,,,
CATENA MALBEC,WINE,WORLD WIDE,9870908858,13400732,CATENA MALBEC,750ML,,15.65,,15.65,21.99,,1,1,,,,,,,,,,,,,,,15.65,170.73,,G,12,12,,,
CAVIT MERLOT,,STANDARD LIQUOR CORP,8678521139,9837009,CAVIT MERLOT,750ML,,9.33,,9.33,12.99,,2,1,,,,,,,,,,,,,,,9.33,93.9,,F,0,12,,,
CAVIT P GRIGIO,,STANDARD LIQUOR CORP,8678500003,9825005,CAVIT P GRIGIO,1.5LT,,15.02,,15.02,14.99,,2,1,,,,,,,,,,,,,,,15.02,81.1,,F,0,6,,,
CAVIT P GRIGIO,,STANDARD LIQUOR CORP,8678500008,9825009,CAVIT P GRIGIO,750ML,,6.41,,6.41,9.99,,2,1,,,,,,,,,,,,,,,6.41,68.35,,F,9,12,,,
CAVIT P NOIR,,STANDARD LIQUOR CORP,8678521448,9892009,CAVIT P NOIR,750ML,,9.03,,9.03,12.99,,2,1,,,,,,,,,,,,,,,9.03,93.9,,F,0,12,,,
CAYMAN JACK,LIQUOR,CENTRAL STATES,1582901111,40012,CAYMAN JACK,11.2Z,,0,,0,16.99,,0,0,,,,,,,,,,,,,,,0,25.5,,,2,2,,,
CAYMAN JACK 12OZ CANS,BEER,CENTRAL STATES,1582901061,40019,CAYMAN JACK 12OZ CAN,8OZ,,10.65,,10.65,13.98,,1,1,,,,,,,,,,,,,,,10.65,21.3,,4,0,2,,,
CAYMAN JACK MARGARITA,BEER,CENTRAL STATES,1582901006,40005,CAYMAN JACK MARGARIT,11.2Z,,6.36,,6.36,7.99,,1,1,,,,,,,,,,,,,,,6.36,28.5,,12,0,4,,,
CAYMUS 1991 CAB SAUV NAPA,WINE,GLAZER'S,1991,1991,CAYMUS 1991 CAB SAUV,750ML,,0,,150,200,,1,1,,,,,,,,,,,,,,,150,1800,,C,0,12,,,
CAYMUS CAB SAUV NAPA VALLEY,WINE,GLAZER'S,1722471010,1564715,CAYMUS CAB SAUV NAPA,750ML,,53.33,,53.33,74.99,,1,1,,,,,,,,,,,,,,,53.33,631.92,,H,0,12,,,
CAYMUS CONUNDRUM,WINE,GLAZER'S,1722485010,10041296,CAYMUS CONUNDRUM,750ML,,18.99,,18.99,25.99,,1,1,,,,,,,,,,,,,,,18.99,0,,H,0,12,,,
CAYMUS CONUNDRUM DISCONTINUED,WINE,GLAZER'S,1722475010,9253817,CAYMUS CONUNDRUM DIS,750ML,,22.54,,22.54,31.69,,2,2,,,,,,,,,,,,,,,22.54,128.04,,C,0,6,,,
CAYMUS CONUNDRUM RED,WINE,GLAZER'S,1722476012,393498,CAYMUS CONUNDRUM RED,750ML,,16.37,,16.37,21.99,,1,1,,,,,,,,,,,,,,,16.37,196.44,,C,9,12,,,
CAYMUS CONUNDRUM WH 25YR,WINE,GLAZER'S,1722475012,398335,CAYMUS CONUNDRUM WH,750ML,,17.57,,17.57,19.99,,1,1,,,,,,,,,,,,,,,17.57,170.65,,C,3,12,,,
CEREJEIRAS TINTO LISBOA,WINE,VERITAS,5602507020304,105720,CEREJEIRAS TINTO LIS,750ML,,5.69,,5.69,7.99,,0,0,,,,,,,,,,,,,,,5.69,68.28,,,11,12,,,
CH ST JEAN CHARD BIJOU,WINE,GLAZER'S,8981954568,360603,CH ST JEAN CHARD BIJ,750ML,,8.7,,8.7,13.99,,1,1,,,,,,,,,,,,,,,8.7,110,,C,0,12,,,
CH ST JEAN RED BLEND,WINE,GLAZER'S,8981954358,318721,CH ST JEAN RED BLEND,750ML,,7.82,,7.82,8.99,,1,1,,,,,,,,,,,,,,,7.82,96,,G,0,12,,,
CH ST MICHELLE CAB SAUV,,GLAZER WHOLESALE DRUG CO.,8858660183,63732,CH ST MICHELLE CAB S,750ML,,136.65,,13.6,14.99,,2,1,,,,,,,,,,,,,,,13.6,136.65,,,0,12,,,
CH ST MICHELLE CHARD,,GLAZER WHOLESALE DRUG CO.,8858660384,53983,CH ST MICHELLE CHARD,750ML,,93.94,,9.33,10.99,,2,1,,,,,,,,,,,,,,,9.33,93.94,,,0,12,,,
CH ST MICHELLE MERLOT,,GLAZER WHOLESALE DRUG CO.,8858660283,91942,CH ST MICHELLE MERLO,750ML,,136.65,,13.6,12.99,,2,1,,,,,,,,,,,,,,,13.6,136.65,,,0,12,,,
CH ST MICHELLE MIMI CHARD,WINE,GLAZER'S,8858600563,364007,CH ST MICHELLE MIMI,750ML,,8.54,,8.54,11.99,,0,0,,,,,,,,,,,,,,,8.54,119.52,,,12,12,,,
CH ST MICHELLE RIESLING,,GLAZER WHOLESALE DRUG CO.,8858662184,55555929,CH ST MICHELLE RIESL,750ML,,68.32,,8.32,10.99,,2,1,,,,,,,,,,,,,,,8.32,68.32,,,0,12,,,
CH ST NICHOLAS WHT ZIN,WINE,GLAZER'S,3914600689,459521,CH ST NICHOLAS WHT Z,750ML,,7.12,,7.12,6.99,,1,1,,,,,,,,,,,,,,,7.12,85.44,,H,0,12,,,
CHAMBORD LIQ W GLASSES,,GLAZER'S WHOLESALE DRUG CO INC,8330003452,383695,CHAMBORD LIQ W GLASS,375ML,,0,,16.72,24.99,,2,1,,,,,,,,,,,,,,,16.72,100.34,,C,1,6,,,
CHAMBORD LIQUEUR 33,,GLAZER WHOLESALE DRUG CO.,8330003451,422187,CHAMBORD LIQUEUR 33,375ML,,174,,14.25,24.99,,2,1,,,,,,,,,,,,,,,14.25,174,,,0,12,,,
CHAMBORD LIQUEUR 33,,GLAZER WHOLESALE DRUG CO.,8330003453,31542,CHAMBORD LIQUEUR 33,750ML,,332.91,,25.85,37.99,,2,1,,,,,,,,,,,,,,,25.85,332.91,,,0,12,,,
CHARONGE,WINE,GLAZER'S,8224201023,3753215,CHARONGE,750ML,,7.83,,7.83,8.99,,1,1,,,,,,,,,,,,,,,7.83,30,,E,0,12,,,
CHAT JULIEN CHARDONNAY,WINE,STANDARD LIQUOR CORP,1629914430,8169009,CHAT JULIEN CHARDONN,750ML,,10.75,,10.75,9.99,,2,1,,,,,,,,,,,,,,,10.75,102.5,,C,-1,12,,,
CHAT JULIEN FRENCH KISS,WINE,STANDARD,1629914421,14580009,CHAT JULIEN FRENCH K,750ML,,9.02,,9.02,8.99,,1,1,,,,,,,,,,,,,,,9.02,102.5,,G,0,12,,,
CHAT JULIEN ROYALTY RED,WINE,STANDARD,1629914485,12529009,CHAT JULIEN ROYALTY,750ML,,9.02,,9.02,8.99,,1,1,,,,,,,,,,,,,,,9.02,102.5,,G,0,12,,,
CHAT L HOSPITALET DE GAZIN,,STANDARD LIQUOR CORP,7030009,7030009,CHAT L HOSPITALET DE,750ML,,0,,28.67,10.99,,2,1,,,,,,,,,,,,,,,28.67,329.63,,A,0,12,,,
CHAT ST.JEAN CHARD SONOMA COUN,WINE,GLAZER'S,8981905509,422166,CHAT ST.JEAN CHARD S,750ML,,8.7,,8.7,13.99,,1,1,,,,,,,,,,,,,,,8.7,90,,C,-1,12,,,
CHATEAU BELLE-VUE BORDEAUX,WINE,VALLEY BEVERAGE,3665900952,28,CHATEAU BELLE-VUE BO,750ML,,16.33,,16.33,22.99,,2,2,,,,,,,,,,,,,,,16.33,0,,F,0,12,,,
CHATEAU BLOUIN BORDEAUX,WINE,WORLD WIDE,7573401005,12000232,CHATEAU BLOUIN BORDE,750ML,,8.51,,8.51,11.99,,1,1,,,,,,,,,,,,,,,8.51,0,,F,0,12,,,
CHATEAU DE CAMPUGET ROSE,WINE,VIENELLO WINES LLC,1208698661,188665,CHATEAU DE CAMPUGET,750ML,,9.25,,9.25,12.99,,0,0,,,,,,,,,,,,,,,9.25,105.48,,,3,12,,,
CHATEAU STE MICHELLE ROSE,WINE,GLAZER'S,8858600932,900529,CHATEAU STE MICHELLE,750ML,,0,,0,9.99,,0,0,,,,,,,,,,,,,,,0,93.94,,,4,12,,,
CHI CHI'S LONG ISLAND T,,GLAZER WHOLESALE DRUG CO.,8900054881,56708,CHI CHI'S LONG ISLAN,1.75L,,55.98,,11,14.99,,2,1,,,,,,,,,,,,,,,11,55.98,,,0,6,,,
CHI CHI'S MARGARITA 20,,GLAZER WHOLESALE DRUG CO.,8900001875,246358,CHI CHI'S MARGARITA,1.75L,,55.98,,11.67,13.99,,0,0,,,,,,,,,,,,,,,11.67,55.98,,,0,6,,,
CHI CHI'S SKINNY MARG 20,CORDIALS,GLAZER'S,8900001555,154069,CHI CHI'S SKINNY MAR,1.75L,,11.33,,11.33,13.99,,0,0,,,,,,,,,,,,,,,11.33,55.98,,,1,6,,,
CHI CHI'S STRAW DAIQUIRI,,GLAZER WHOLESALE DRUG CO.,8066014187,177589,CHI CHI'S STRAW DAIQ,1.75L,,0,,11.67,13.99,,2,1,,,,,,,,,,,,,,,11.67,61.02,,,0,6,,,
CHILA ORCHATA,CORDIALS,STANDARD,8800401639,14291009,CHILA ORCHATA,750ML,,14.43,,14.43,19.99,,1,1,,,,,,,,,,,,,,,14.43,180,,H,0,12,,,
CHILCAS CARMENERE RESERVA,WINE,WORLD WIDE,5847200110,17611132,CHILCAS CARMENERE RE,750ML,,9.53,,9.53,12.99,,1,1,,,,,,,,,,,,,,,9.53,100,,H,0,12,,,
CHILCAS MERLOT RESERVA,WINE,WORLD WIDE,1710101003,17611032,CHILCAS MERLOT RESER,750ML,,9.53,,9.53,8.99,,1,1,,,,,,,,,,,,,,,9.53,100,,H,1,12,,,
CHIMAY BLUE,BEER,CRAWFORD,8170600303,28369,CHIMAY BLUE,11.2Z,,16.38,,16.38,20.49,,1,1,,,,,,,,,,,,,,,16.38,98.25,,8,0,6,,,
CHIMAY BLUE 25.4OZ,BEER,CRAWFORD,8170600007,28368,CHIMAY BLUE 25.4OZ,25OZ,,9.83,,9.83,11.99,,1,1,,,,,,,,,,,,,,,9.83,124,,8,0,12,,,
CHIMAY RED PREMIERE,BEER,CRAWFORD,8170600004,28360,CHIMAY RED PREMIERE,750ML,,8.79,,8.79,10.99,,1,1,,,,,,,,,,,,,,,8.79,115,,8,0,12,,,
CHIME 2009 PINOT NOIR,WINE,HANDCRAFTED WINES,1812243615,5515,CHIME 2009 PINOT NOI,750ML,,9.25,,9.25,11.49,,1,1,,,,,,,,,,,,,,,9.25,102.48,,C,1,12,,,
CHIME 2009 PINOT NOIR,WINE,HANDCRAFTED WINES,5089200311,5515A,CHIME 2009 PINOT NOI,750ML,,9.25,,9.25,11.49,,1,1,,,,,,,,,,,,,,,9.25,102.48,,,1,12,,,
CHIVAS REGAL 80,,GLAZER WHOLESALE DRUG CO.,8043240036,16211,CHIVAS REGAL 80,200ML,,198,,8.65,11.49,,2,1,,,,,,,,,,,,,,,8.65,198,,,0,24,,,
CHIVAS REGAL 80,,GLAZER WHOLESALE DRUG CO.,8043240037,292625,CHIVAS REGAL 80,375ML,,358.92,,14.78,20.19,,2,1,,,,,,,,,,,,,,,14.78,358.92,,,0,24,,,
CHIVAS REGAL 80,LIQUOR,GLAZER'S,8043240038,42751,CHIVAS REGAL 80,375ML,,15.76,,15.76,20.19,,1,1,,,,,,,,,,,,,,,15.76,0,,C,0,24,,,
CHIVAS REGAL 80,,GLAZER WHOLESALE DRUG CO.,8043240039,13871,CHIVAS REGAL 80,750ML,,333.48,,31.06,37.99,,2,1,,,,,,,,,,,,,,,31.06,333.48,,,0,12,,,
CHIVAS REGAL 80,,GLAZER WHOLESALE DRUG CO.,8043240023,13871A,CHIVAS REGAL 80,750ML,,333.48,,31.06,37.99,,2,1,,,,,,,,,,,,,,,31.06,333.48,,,0,12,,,
CHLOE PINOT GRIGIO,WINE,GLAZER'S,8130800333,351385,CHLOE PINOT GRIGIO,750ML,,9.26,,9.26,12.99,,1,1,,,,,,,,,,,,,,,9.26,108,,G,0,12,,,
CHOP SHOP,WINE,VINTEGRITY,1294902345,109001,CHOP SHOP,750ML,,10.67,,10.67,14.99,,0,0,,,,,,,,,,,,,,,10.67,128.04,,,0,12,,,
CHOPIN VODKA,LIQUOR,STANDARD LIQUOR CORP,5293500115,3375009,CHOPIN VODKA,750ML,,24.85,,24.85,29.99,,2,1,,,,,,,,,,,,,,,24.85,200.58,,A,0,6,,,
CHRISTIAN BROS EGG NOG,CORDIALS,GLAZER'S,8603620560,56276,CHRISTIAN BROS EGG N,750ML,,6.22,,6.22,7.99,,1,1,,,,,,,,,,,,,,,6.22,74.64,,H,0,12,,,
CHRISTIAN BROS.BRANDY 80 AMBER,,GLAZER WHOLESALE DRUG CO.,8603681567,48266,CHRISTIAN BROS.BRAND,375ML,,98.88,,4.68,6.49,,2,1,,,,,,,,,,,,,,,4.68,98.88,,,0,24,,,
CHRISTIAN BROS.BRANDY 80 AMBER,,GLAZER WHOLESALE DRUG CO.,8603681559,48265,CHRISTIAN BROS.BRAND,750ML,,102.63,,9.66,12.99,,2,1,,,,,,,,,,,,,,,9.66,102.63,,,0,12,,,
CHRISTIAN BROS.TAWNY PORT,,GLAZER WHOLESALE DRUG CO.,8603611459,50725,CHRISTIAN BROS.TAWNY,750ML,,45.36,,4.98,6.99,,2,1,,,,,,,,,,,,,,,4.98,45.36,,,0,12,,,
CHRISTIAN BROTHERS,LIQUOR,GLAZER'S,9674900067,369028,CHRISTIAN BROTHERS,50ML,,0,,0,0.93,,0,0,,,,,,,,,,,,,,,0,72.35,,,66,120,,,
CHRONIC GRAND CUVEE,WINE,HANDCRAFTED WINES,301200512,52804025,CHRONIC GRAND CUVEE,750ML,,10.67,,10.67,13.99,,0,0,,,,,,,,,,,,,,,10.67,128.04,,,2,12,,,
CHRONIC PURPLE PARADICE,WINE,HANDCRAFTED WINES,301200508,52801017,CHRONIC PURPLE PARAD,750ML,,10.67,,10.67,13.99,,0,0,,,,,,,,,,,,,,,10.67,128.04,,,0,12,,,
CHRONIC SUITE PETITE,WINE,HANDCRAFTED WINES,301200506,52802010,CHRONIC SUITE PETITE,750ML,,10.67,,10.67,13.99,,0,0,,,,,,,,,,,,,,,10.67,128.04,,,-1,12,,,
CIGAR BOX MALBEC,WINE,WORLD WIDE,5523300051,15913832,CIGAR BOX MALBEC,750ML,,7.12,,7.12,9.99,,0,0,,,,,,,,,,,,,,,7.12,85.5,,,7,12,,,
CIMARRON BLANCO TEQUILA,LIQUOR,STANDARD,4163831100,19910007,CIMARRON BLANCO TEQU,1L,,0,,17.06,21.99,,0,0,,,,,,,,,,,,,,,17.06,102.36,,,0,6,,,
CINERATOR 50ML,LIQUOR,GLAZER'S,9674900022,349640,CINERATOR 50ML,50ML,,7.7,,7.7,0.93,,0,0,,,,,,,,,,,,,,,7.7,92.4,,,130,120,,,
CIRCA MAREMMA TOSCANA ROSSO,WINE,VERITAS,8003861030119,113620,CIRCA MAREMMA TOSCAN,750ML,,7.12,,7.12,9.99,,0,0,,,,,,,,,,,,,,,7.12,85.44,,,2,12,,,
CIROC PEACH,LIQUOR,STANDARD,8807617740,14406009,CIROC PEACH,750ML,,28.78,,28.78,36.99,,0,0,,,,,,,,,,,,,,,28.78,345.36,,,4,12,,,
CIROC PINEAPPLE,LIQUOR,STANDARD,8807617908,16337009,CIROC PINEAPPLE,750ML,,28.78,,28.78,36.99,,0,0,,,,,,,,,,,,,,,28.78,345.36,,,4,12,,,
CIROC RED BERRY,LIQUOR,STANDARD,8807617505,14340009,CIROC RED BERRY,750ML,,28.78,,28.78,36.99,,0,0,,,,,,,,,,,,,,,28.78,345.36,,,4,12,,,
CIROC VODKA,LIQUOR,STANDARD,8807616265,1159013,CIROC VODKA,375ML,,15.97,,15.97,19.49,,1,1,,,,,,,,,,,,,,,15.97,168.04,,C,1,12,,,
CIROC VODKA,LIQUOR,STANDARD,8807616186,1159009,CIROC VODKA,750ML,,28.78,,28.78,36.99,,1,1,,,,,,,,,,,,,,,28.78,167.99,,A,1,6,,,
CK MONDAVI CAB SAUV,WINE,STANDARD LIQUOR CORP,8601250094,6744005,CK MONDAVI CAB SAUV,1.5LT,,8.62,,8.62,8.99,,0,0,,,,,,,,,,,,,,,8.62,59.8,,1,0,6,,,
CK MONDAVI CHARD,,STANDARD LIQUOR CORP,8601240074,6747005,CK MONDAVI CHARD,1.5LT,,11.47,,11.47,8.99,,2,1,,,,,,,,,,,,,,,11.47,59.8,,1,0,6,,,
CK MONDAVI MERLOT,,STANDARD LIQUOR CORP,8601250084,6813005,CK MONDAVI MERLOT,1.5LT,,9.32,,9.32,8.99,,2,1,,,,,,,,,,,,,,,9.32,59.8,,1,0,6,,,
CLAN MCGREGOR,,STANDARD LIQUOR CORP,8366412042,1190007,CLAN MCGREGOR,1.0LT,,10.83,,10.83,12.69,,2,1,,,,,,,,,,,,,,,10.83,103.26,,C,0,12,,,
CLAN MCGREGOR,,STANDARD LIQUOR CORP,8366412026,1190004,CLAN MCGREGOR,1.75L,,15.22,,15.22,18.99,,2,1,,,,,,,,,,,,,,,15.22,79.35,,C,12,6,,,
CLAN MCGREGOR,LIQUOR,STANDARD,8366412094,1190013,CLAN MCGREGOR,375ML,,5.85,,5.85,7.99,,0,0,,,,,,,,,,,,,,,5.85,117.65,,,2,24,,,
CLAN MCGREGOR,LIQUOR,STANDARD LIQUOR CORP,8366412077,1190009,CLAN MCGREGOR,750ML,,7.78,,7.78,12.99,,0,0,,,,,,,,,,,,,,,7.78,93.35,,C,3,12,,,
CLEAR 10 VODKA,LIQUOR,WORLD WIDE,1812251338,30500012,CLEAR 10 VODKA,50ML,,15.12,,15.12,1.62,,1,1,,,,,,,,,,,,,,,15.12,15.12,,H,0,12,,,
CLEAR 10 VODKA,LIQUOR,WORLD WIDE,1812251328,30500052,CLEAR 10 VODKA,750ML,,15.5,,15.5,14.99,,1,1,,,,,,,,,,,,,,,15.5,93,,D,-4,6,,,
CLINE CASHMERE RED TABLE CALIF,,GLAZER'S,9865240001,131698,CLINE CASHMERE RED T,750ML,,9.25,,9.25,12.99,,0,0,,,,,,,,,,,,,,,9.25,111.02,,,7,12,,,
CLINE CHARDONNAY,WINE,GLAZER'S,9865219006,307855,CLINE CHARDONNAY,750ML,,10.75,,10.75,12.99,,0,0,,,,,,,,,,,,,,,10.75,111.02,,,13,12,,,
CLINE PINOT NOIR,WINE,GLAZER'S,9865219005,437752,CLINE PINOT NOIR,750ML,,12.18,,12.18,14.99,,0,0,,,,,,,,,,,,,,,12.18,128.11,,,12,12,,,
CLINE ZIN ANCIENT VINES CONTRA,WINE,GLAZER'S,9865230002,47793,CLINE ZIN ANCIENT VI,750ML,,11.46,,11.46,15.99,,0,0,,,,,,,,,,,,,,,11.46,119.56,,,2,12,,,
CLOS DU BOIS CAB SAUV,,GLAZER WHOLESALE DRUG CO.,8735640512,68024,CLOS DU BOIS CAB SAU,750ML,,85.44,,8.62,10.99,,2,1,,,,,,,,,,,,,,,8.62,85.44,,,0,12,,,
CLOS DU BOIS CHARD,,GLAZER WHOLESALE DRUG CO.,8735651012,70261,CLOS DU BOIS CHARD,750ML,,85.44,,9.03,10.99,,2,1,,,,,,,,,,,,,,,9.03,85.44,,,0,12,,,
CLOS DU BOIS CHARD EFFERVESCET,WINE,GLAZER'S,8735695355,469207,CLOS DU BOIS CHARD E,750ML,,8.54,,8.54,11.99,,0,0,,,,,,,,,,,,,,,8.54,102.48,,,4,12,,,
CLOS DU BOIS MERLOT,,GLAZER WHOLESALE DRUG CO.,8735642112,82727,CLOS DU BOIS MERLOT,750ML,,76.9,,8.62,10.99,,2,1,,,,,,,,,,,,,,,8.62,76.9,,,0,12,,,
CLOS DU BOIS PINOT NOIR,,GLAZER WHOLESALE DRUG CO.,8735644212,76613,CLOS DU BOIS PINOT N,750ML,,93.9,,10.75,10.99,,2,1,,,,,,,,,,,,,,,10.75,93.9,,,0,12,,,
CLOS DU BOIS ROSE BUBBLED,WINE,GLAZER'S,8735695360,902257,CLOS DU BOIS ROSE BU,750ML,,8.54,,8.54,11.99,,0,0,,,,,,,,,,,,,,,8.54,1.48,,,1,12,,,
CLOUDLINE PINOT NOIR,WINE,WORLD WIDE,1208696531,106420,CLOUDLINE PINOT NOIR,750ML,,12.8,,12.8,17.99,,0,0,,,,,,,,,,,,,,,12.8,153.6,,,0,12,,,
CLYDE MAYS ALABAMA STYLE,LIQUOR,GLAZER'S,5616000001,360958,CLYDE MAYS ALABAMA S,750ML,,25.67,,25.67,32.99,,0,0,,,,,,,,,,,,,,,25.67,154.02,,,0,6,,,
CLYDE MAYS STRAIGHT BOURBON,LIQUOR,GLAZER'S,8901601691,418906,CLYDE MAYS STRAIGHT,750ML,,29.56,,29.56,37.99,,0,0,,,,,,,,,,,,,,,29.56,177.36,,,1,6,,,
COAL MINER SWEET RED,WINE,HANDCRAFTED WINES,1629924485,29301017,COAL MINER SWEET RED,750ML,,9.25,,9.25,12.99,,1,1,,,,,,,,,,,,,,,9.25,111,,G,0,12,,,
COCOBON DARK BLEND,WINE,GLAZER'S,8130800426,479566,COCOBON DARK BLEND,750ML,,4.98,,4.98,6.99,,0,0,,,,,,,,,,,,,,,4.98,59.76,,,13,12,,,
COCOBON RED BLEND,WINE,GLAZER'S,8130800066,260882,COCOBON RED BLEND,750ML,,4.98,,4.98,6.99,,0,0,,,,,,,,,,,,,,,4.98,59.76,,,10,12,,,
COINTREAU LIQ,,STANDARD LIQUOR CORP,8723656520,3838013,COINTREAU LIQ,375ML,,18.3,,18.3,23.99,,2,1,,,,,,,,,,,,,,,18.3,420,,C,0,24,,,
COINTREAU LIQ,CORDIALS,STANDARD LIQUOR CORP,8723656510,3838009,COINTREAU LIQ,750ML,,31.08,,31.08,40.99,,0,0,,,,,,,,,,,,,,,31.08,372,,C,2,12,,,
COL DI ROCCA PROSECCO,WINE,VIENELLO WINES LLC,8058450410100,400100,COL DI ROCCA PROSECC,750ML,,10.67,,10.67,14.99,,0,0,,,,,,,,,,,,,,,10.67,128.04,,,2,12,,,
COLLIER AND MCKEEL WHISKEY,LIQUOR,HANDCRAFTED WINES,9357370255,31101330,COLLIER AND MCKEEL W,750ML,,38.9,,38.9,49.99,,1,1,,,,,,,,,,,,,,,38.9,466.8,,H,0,12,,,
COLOMBO MARSALA DRY,WINE,STANDARD LIQUOR CORP,5224521850,7352009,COLOMBO MARSALA DRY,750ML,,9.03,,9.03,10.99,,2,1,,,,,,,,,,,,,,,9.03,90.48,,D,0,12,,,
COLOMBO MARSALA SWEET,,STANDARD LIQUOR CORP,8366484287,7351009,COLOMBO MARSALA SWEE,750ML,,9.03,,9.03,10.99,,2,1,,,,,,,,,,,,,,,9.03,90.48,,D,0,12,,,
COLOMBO MARSALA SWEET,WINE,STANDARD LIQUOR CORP,5224521852,7351009A,COLOMBO MARSALA SWEE,750ML,,9.03,,9.03,10.99,,2,1,,,,,,,,,,,,,,,9.03,90.48,,,0,12,,,
COLT BLAST BLU/POMGR,BEER,CENTRAL STATES,7125000176,28746,COLT BLAST BLU/POMGR,24OZ,,1.6,,1.6,1.99,,1,1,,,,,,,,,,,,,,,1.6,19.15,,18,0,12,,,
COLT BLAST BLU/POMGR,BEER,CENTRAL STATES,7125000476,28746A,COLT BLAST BLU/POMGR,24OZ,,1.6,,1.6,1.99,,1,1,,,,,,,,,,,,,,,1.6,19.15,,,0,12,,,
COLT BLAST RASP/MELON,BEER,CENTRAL STATES,7125000276,28646,COLT BLAST RASP/MELO,24OZ,,1.6,,1.6,1.99,,1,1,,,,,,,,,,,,,,,1.6,20.95,,18,0,12,,,
COLT BLAST STRAW/LEMON,BEER,CENTRAL STATES,7125000376,28546,COLT BLAST STRAW/LEM,24OZ,,1.6,,1.6,1.99,,1,1,,,,,,,,,,,,,,,1.6,20.95,,18,0,12,,,
COLUMBIA CREST CAB SAUV GRAND,,GLAZER WHOLESALE DRUG CO.,8858640184,336754,COLUMBIA CREST CAB S,750ML,,111,,8.32,14.99,,2,1,,,,,,,,,,,,,,,8.32,111,,,0,12,,,
COLUMBIA CREST CAB SAUV TWO VI,WINE,GLAZER'S,8858600072,355162,COLUMBIA CREST CAB S,750ML,,0,,6.89,8.99,,1,1,,,,,,,,,,,,,,,6.89,68.28,,C,0,12,,,
COLUMBIA CREST CHARD GRAND EST,,GLAZER WHOLESALE DRUG CO.,8858649895,336759,COLUMBIA CREST CHARD,750ML,,102.4,,8.32,8.99,,2,1,,,,,,,,,,,,,,,8.32,111,,,0,12,,,
